,gameid,GameDate,ab,pitchnum,inning,teambat,balls,strikes,outs,pitcher,pitcherthrows,batter,batterside,pitchresult,pitchresult_desc,eventtype,pitchname,pitchname_desc,spinrate,relspeed,horzbreak,inducedvertbreak,platelocside,platelocheight,hometeam_id,Home,awayteam_id,Visitor,venue_id,venue_name
279921,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,44,6,6.0,0,3.0,2.0,2.0,"Okert, Steven",L,"Santana, Carlos",R,F,Strike - Foul,foul,FF,Four-seam FB,2085.510254,93.24117279,-10.00436592,13.49655533,-0.559748828,2.691644669,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279922,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,44,5,6.0,0,3.0,1.0,2.0,"Okert, Steven",L,"Santana, Carlos",R,F,Strike - Foul,foul,SL,Slider,2468.520264,82.37607574,8.900185585,9.127645493,0.494639635,2.8629179,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279923,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,44,4,6.0,0,2.0,1.0,2.0,"Okert, Steven",L,"Santana, Carlos",R,B,Ball - Called,ball,SL,Slider,2485.761963,81.71630096,11.5171814,5.509908676,1.310912728,2.966420889,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279924,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,44,3,6.0,0,1.0,1.0,2.0,"Okert, Steven",L,"Santana, Carlos",R,*B,Ball - Ball In Dirt,blocked_ball,SL,Slider,2508.084473,80.56354523,8.400115967,4.243104458,-1.675919414,0.256932974,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279925,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,44,2,6.0,0,1.0,0.0,2.0,"Okert, Steven",L,"Santana, Carlos",R,S,Strike - Swinging,swinging_strike,FF,Four-seam FB,2237.921875,93.39916229,-10.64092159,18.18310738,0.243641302,3.102846384,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279926,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,44,1,6.0,0,0.0,0.0,2.0,"Okert, Steven",L,"Santana, Carlos",R,B,Ball - Called,ball,SL,Slider,2528.594482,81.37647247,10.02599525,3.878997087,-0.299437642,0.981206954,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279927,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,43,5,6.0,0,1.0,2.0,1.0,"Okert, Steven",L,"Joe, Connor",R,S,Strike - Swinging,strikeout,FF,Four-seam FB,2253.353516,93.01965332,-10.67961025,14.87563324,-0.079837516,1.989920855,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279928,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,43,4,6.0,0,0.0,2.0,1.0,"Okert, Steven",L,"Joe, Connor",R,B,Ball - Called,ball,SL,Slider,2437.655518,80.45140839,9.965007782,2.159010172,-0.039715506,0.990234315,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279929,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,43,3,6.0,0,0.0,2.0,1.0,"Okert, Steven",L,"Joe, Connor",R,F,Strike - Foul,foul,SL,Slider,2538.48584,81.82041168,7.89640522,6.270414352,-0.909399092,1.532753229,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279930,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,43,2,6.0,0,0.0,1.0,1.0,"Okert, Steven",L,"Joe, Connor",R,C,Strike - Called,called_strike,FF,Four-seam FB,2237.054443,94.15982056,-11.90416336,15.71298122,0.199828029,1.732643843,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
